:Predicted_Sunspot_Numbers_and_Radio_Flux: Predict.txt
:Created: 2017 Sep 04 0500 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Sunspot Number: S.I.D.C. Brussels International Sunspot Number.
# 10.7cm Radio Flux value: Penticton, B.C. Canada.
# Predicted values are based on the consensus of the Solar Cycle 24 Prediction
#
# See the README3 file for further information.
#
# Missing or not applicable data:  -1
#
#         Predicted Sunspot Number And Radio Flux Values
#                     With Expected Ranges
#
#         -----Sunspot Number------  ----10.7 cm Radio Flux----
# YR MO   PREDICTED    HIGH    LOW   PREDICTED    HIGH    LOW
#--------------------------------------------------------------
2017 03        15.3    16.3    14.3       78.1    79.1    77.1
2017 04        15.2    17.2    13.2       77.4    78.4    76.4
2017 05        15.6    18.6    12.6       77.0    79.0    75.0
2017 06        16.2    21.2    11.2       77.0    80.0    74.0
2017 07        16.7    21.7    11.7       77.0    81.0    73.0
2017 08        16.8    22.8    10.8       76.8    80.8    72.8
2017 09        17.1    24.1    10.1       76.7    81.7    71.7
2017 10        17.2    24.2    10.2       76.3    82.3    70.3
2017 11        17.2    25.2     9.2       75.9    82.9    68.9
2017 12        17.4    26.4     8.4       75.7    83.7    67.7
2018 01        17.5    26.5     8.5       75.3    83.3    67.3
2018 02        17.3    27.3     7.3       74.6    83.6    65.6
2018 03        16.5    26.5     6.5       73.9    82.9    64.9
2018 04        15.4    25.4     5.4       72.8    81.8    63.8
2018 05        14.5    24.5     4.5       72.1    81.1    63.1
2018 06        13.7    23.7     3.7       71.3    80.3    62.3
2018 07        12.9    22.9     2.9       70.6    79.6    61.6
2018 08        12.2    22.2     2.2       69.9    78.9    60.9
2018 09        11.5    21.5     1.5       69.2    78.2    60.2
2018 10        10.8    20.8     0.8       68.6    77.6    60.0
2018 11        10.1    20.1     0.1       68.0    77.0    60.0
2018 12         9.5    19.5     0.0       67.4    76.4    60.0
2019 01         8.9    18.9     0.0       66.9    75.9    60.0
2019 02         8.3    18.3     0.0       66.3    75.3    60.0
2019 03         7.8    17.8     0.0       65.9    74.9    60.0
2019 04         7.3    17.3     0.0       65.4    74.4    60.0
2019 05         6.8    16.8     0.0       65.0    74.0    60.0
2019 06         6.4    16.4     0.0       64.5    73.5    60.0
2019 07         5.9    15.9     0.0       64.1    73.1    60.0
2019 08         5.5    15.5     0.0       63.8    72.8    60.0
2019 09         5.1    15.1     0.0       63.4    72.4    60.0
2019 10         4.8    14.8     0.0       63.1    72.1    60.0
2019 11         4.4    14.4     0.0       62.8    71.8    60.0
2019 12         4.1    14.1     0.0       62.5    71.5    60.0
